,At Rim,3 to <10 ft,10 to <16 ft,16 ft to <3-pt,3-pt
Mike Muscala,0.692,0.401,0.475,0.458,0.405
Mike Scott,0.572,0.401,0.301,0.501,0.149
Mike Tobey,0.334,0.001,0.001,0.001,0.001
Miles Plumlee,0.557,0.371,0.201,0.001,0.001
Mindaugas Kuzminskas,0.586,0.372,0.251,0.001,0.316
Mirza Teletovic,0.532,0.334,0.309,0.53,0.348
Monta Ellis,0.668,0.524,0.369,0.358,0.303
Montrezl Harrell,0.733,0.501,0.126,0.501,0.334
Myles Turner,0.722,0.449,0.495,0.463,0.362
Nemanja Bjelica,0.619,0.474,0.301,0.401,0.316
Nene Hilario,0.728,0.488,0.408,0.463,0.43
Nerlens Noel,0.705,0.517,0.313,0.436,0.001
Nick Collison,0.834,0.334,0.001,0.001,0.001
Nick Young,0.639,0.354,0.41,0.473,0.411
Nicolas Batum,0.638,0.381,0.393,0.358,0.35
Nicolas Brussino,0.751,1.001,0.501,0.386,0.303
Nicolas Laprovittola,0.539,0.251,1.001,0.501,0.371
Nik Stauskas,0.544,0.193,0.43,0.223,0.377
Nikola Jokic,0.662,0.597,0.56,0.518,0.371
Nikola Mirotic,0.603,0.501,0.424,0.297,0.311
Nikola Vucevic,0.617,0.477,0.456,0.387,0.279
Noah Vonleh,0.471,0.401,0.144,0.501,0.351
Norman Powell,0.58,0.35,0.274,0.401,0.337
Norris Cole,0.001,0.334,1.001,0.001,0.001
Okaro White,0.572,0.168,0.501,0.251,0.477
Omer Asik,0.518,0.001,0.001,0.001,0.001
Omri Casspi,0.597,0.334,0.001,0.001,0.395
Otto Porter,0.722,0.527,0.538,0.46900000000000003,0.456
P.J. Tucker,0.53,0.363,0.449,0.41,0.342
Pascal Siakam,0.615,0.458,0.319,0.445,0.001
Pat Connaughton,0.626,0.334,0.001,0.001,0.43
Patrick Beverley,0.609,0.425,0.365,0.215,0.386
Patrick McCaw,0.743,0.463,0.251,0.365,0.357
Patrick Patterson,0.487,0.445,0.401,0.334,0.35
Patty Mills,0.621,0.358,0.439,0.41,0.424
Pau Gasol,0.628,0.486,0.365,0.514,0.52
Paul George,0.601,0.435,0.415,0.446,0.376
Paul Millsap,0.613,0.406,0.464,0.33,0.32
Paul Pierce,0.334,1.001,0.201,0.401,0.371
Paul Zipser,0.551,0.456,0.251,0.309,0.293
Pierre Jackson,0.456,0.334,0.251,0.301,0.274
Quincy Acy,0.477,0.501,0.668,0.251,0.456
Quinn Cook,0.001,1.001,0.287,0.001,0.001
R.J. Hunter,0.001,0.001,0.001,0.001,0.001
Rajon Rondo,0.482,0.467,0.186,0.352,0.303
Rakeem Christmas,0.584,0.501,0.001,0.001,0.001
Ramon Sessions,0.519,0.334,0.28200000000000003,0.293,0.329
Randy Foye,0.546,0.349,0.251,0.236,0.342
Rashad Vaughn,0.601,0.101,0.001,0.456,0.34
Raul Neto,0.683,0.557,0.001,0.168,0.287
Raymond Felton,0.625,0.357,0.371,0.379,0.368
Reggie Bullock,0.825,0.201,0.401,0.287,0.313
Reggie Jackson,0.505,0.374,0.47,0.438,0.35
Reggie Williams,0.501,0.001,0.501,0.001,0.456
Richard Jefferson,0.796,0.239,0.43,0.134,0.304
Richaun Holmes,0.751,0.325,0.287,0.39,0.358
Ricky Rubio,0.531,0.334,0.43,0.408,0.288
Robert Covington,0.596,0.284,0.334,0.251,0.332
Robin Lopez,0.526,0.488,0.441,0.457,0.001
Rodney Hood,0.583,0.401,0.425,0.418,0.369
Rodney McGruder,0.687,0.34,0.251,0.293,0.345
Rodney Stuckey,0.523,0.371,0.501,0.365,0.327
Ron Baker,0.487,0.144,0.668,0.251,0.319
Rondae Hollis-Jefferson,0.588,0.339,0.32,0.297,0.227
Ronnie Price,1.001,0.001,0.001,0.001,0.001
Roy Hibbert,0.697,0.423,0.53,0.424,0.001
Rudy Gay,0.69,0.431,0.388,0.339,0.373
Rudy Gobert,0.711,0.263,0.668,0.001,0.001
Russell Westbrook,0.582,0.251,0.438,0.319,0.34400000000000003
Ryan Anderson,0.542,0.341,0.382,0.374,0.408
Ryan Kelly,0.001,0.001,0.501,0.001,0.401
Salah Mejri,0.735,0.751,0.801,0.112,0.001
Sam Dekker,0.666,0.325,0.401,0.501,0.336
Sasha Vujacic,0.001,0.251,0.41,0.309,0.001
Sean Kilpatrick,0.577,0.341,0.327,0.398,0.342
Semaj Christon,0.533,0.281,0.346,0.287,0.183
Serge Ibaka,0.737,0.48,0.449,0.473,0.391
Sergio Rodriguez,0.577,0.405,0.354,0.355,0.349
Seth Curry,0.64,0.572,0.46900000000000003,0.403,0.442
Shabazz Muhammad,0.646,0.431,0.313,0.251,0.399
Shabazz Napier,0.551,0.287,0.501,0.468,0.329
Shaun Livingston,0.793,0.72,0.501,0.287,0.001
Sheldon McClellan,0.463,0.501,0.668,0.301,0.232
Shelvin Mack,0.596,0.447,0.49,0.40700000000000003,0.31
Skal Labissiere,0.779,0.295,0.834,0.668,0.001
Solomon Hill,0.552,0.274,0.354,0.101,0.343
Spencer Dinwiddie,0.551,0.352,0.264,0.527,0.424
Spencer Hawes,0.647,0.542,0.463,0.239,0.292
Stanley Johnson,0.657,0.269,0.515,0.376,0.313
Stephen Curry,0.644,0.435,0.441,0.459,0.401
Stephen Zimmerman,0.668,0.501,0.334,0.334,0.001
Steve Novak,1.001,0.168,0.001,0.001,0.001
Steven Adams,0.648,0.472,0.392,0.001,0.001
T.J. McConnell,0.643,0.441,0.392,0.383,0.251
T.J. Warren,0.711,0.445,0.411,0.414,0.238
Taj Gibson,0.689,0.449,0.384,0.33,0.232
Tarik Black,0.631,0.277,0.43,0.001,0.501
Taurean Waller-Prince,0.475,0.43,0.287,0.445,0.29
Terrence Jones,0.678,0.37,0.371,0.367,0.254
Terrence Ross,0.651,0.513,0.484,0.451,0.367
Terry Rozier,0.457,0.268,0.356,0.401,0.329
Thabo Sefolosha,0.639,0.43,0.251,0.397,0.342
Thaddeus Young,0.649,0.527,0.334,0.342,0.403
Thomas Robinson,0.614,0.418,0.251,0.168,0.001
Thon Maker,0.616,0.101,0.001,0.572,0.514
Tim Frazier,0.633,0.27,0.239,0.408,0.331
Tim Hardaway,0.643,0.424,0.437,0.36,0.35
Tim Quarterman,1.001,0.501,0.001,1.001,0.751
Timofey Mozgov,0.658,0.354,0.44,0.437,0.001
Timothe Luwawu-Cabarrot,0.553,0.151,0.001,0.001,0.276
Tobias Harris,0.691,0.501,0.452,0.523,0.34400000000000003
Tomas Satoransky,0.46,0.539,0.386,0.456,0.215
Toney Douglas,0.601,0.501,0.274,0.527,0.177
Tony Allen,0.56,0.285,0.334,0.268,0.236
Tony Parker,0.586,0.423,0.397,0.487,0.363
Tony Snell,0.684,0.463,0.477,0.463,0.399
Treveon Graham,0.201,0.001,1.001,0.001,0.626
Trevor Ariza,0.64,0.345,0.445,0.251,0.351
Trevor Booker,0.664,0.516,0.41,0.28200000000000003,0.264
Trey Burke,0.515,0.41,0.501,0.406,0.42
Trey Lyles,0.584,0.362,0.304,0.343,0.322
Tristan Thompson,0.646,0.445,0.463,0.668,0.001
Troy Daniels,0.334,0.365,0.334,0.383,0.395
Troy Williams,0.562,0.334,0.501,0.376,0.245
Ty Lawson,0.612,0.404,0.559,0.33,0.288
Tyler Ennis,0.668,0.301,0.001,0.001,0.369
Tyler Johnson,0.597,0.438,0.334,0.404,0.362
Tyler Ulis,0.313,0.386,0.513,0.342,0.334
Tyler Zeller,0.601,0.361,0.001,0.39,0.001
Tyreke Evans,0.528,0.276,0.201,0.38,0.338
Tyson Chandler,0.712,0.365,0.001,0.001,0.001
Tyus Jones,0.459,0.39,0.557,0.301,0.38
Udonis Haslem,0.819,0.401,0.001,0.001,0.001
Victor Oladipo,0.607,0.312,0.501,0.434,0.355
Vince Carter,0.508,0.425,0.126,0.368,0.365
Wade Baldwin,0.441,0.274,0.334,0.334,0.112
